processName,/group,instanceCount,percentCPU,residentSetSize,processId,numThreads,percentMemory,virtualMemory,startTime,args,user,
bbsoscks#092,,1,0.0 %,11616 Kb,22255,1,0.3 %,16816 Kb,Sun Dec 26 10:31:15 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#093,,1,0.0 %,11880 Kb,22251,1,0.3 %,16816 Kb,Sun Dec 26 10:31:10 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#094,,1,0.0 %,11944 Kb,22916,1,0.3 %,16816 Kb,Sun Dec 26 10:31:36 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#095,,1,0.0 %,11712 Kb,22919,1,0.3 %,16816 Kb,Sun Dec 26 10:31:40 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#096,,1,0.0 %,11752 Kb,22883,1,0.3 %,16816 Kb,Sun Dec 26 10:31:35 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#097,,1,0.0 %,11944 Kb,22944,1,0.3 %,16816 Kb,Sun Dec 26 10:31:43 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#098,,1,0.0 %,11688 Kb,22753,1,0.3 %,16816 Kb,Sun Dec 26 10:31:32 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#099,,1,0.0 %,11816 Kb,22728,1,0.3 %,16816 Kb,Sun Dec 26 10:31:29 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#100,,1,0.0 %,11744 Kb,23006,1,0.3 %,16816 Kb,Sun Dec 26 10:31:55 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#101,,1,0.0 %,11944 Kb,23005,1,0.3 %,16816 Kb,Sun Dec 26 10:31:51 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#102,,1,0.0 %,11920 Kb,23009,1,0.3 %,16816 Kb,Sun Dec 26 10:31:57 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#103,,1,0.0 %,11936 Kb,23029,1,0.3 %,16816 Kb,Sun Dec 26 10:32:26 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#104,,1,0.0 %,11744 Kb,23018,1,0.3 %,16816 Kb,Sun Dec 26 10:32:09 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#105,,1,0.0 %,11944 Kb,23025,1,0.3 %,16816 Kb,Sun Dec 26 10:32:21 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#106,,1,0.0 %,11944 Kb,23032,1,0.3 %,16816 Kb,Sun Dec 26 10:32:28 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#107,,1,0.0 %,11960 Kb,23036,1,0.3 %,16816 Kb,Sun Dec 26 10:32:36 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#108,,1,0.0 %,11840 Kb,23048,1,0.3 %,16816 Kb,Sun Dec 26 10:32:47 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#109,,1,0.0 %,11904 Kb,23051,1,0.3 %,16816 Kb,Sun Dec 26 10:32:55 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#110,,1,0.0 %,11936 Kb,23073,1,0.3 %,16816 Kb,Sun Dec 26 10:33:21 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#111,,1,0.3 %,12840 Kb,9006,1,0.4 %,16752 Kb,Mon Dec 27 03:27:58 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#112,,1,0.4 %,12776 Kb,15630,1,0.4 %,16752 Kb,Mon Dec 27 04:02:29 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#113,,1,0.0 %,12832 Kb,23663,1,0.4 %,16752 Kb,Mon Dec 27 12:11:57 2010,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#114,,1,0.0 %,11880 Kb,16540,1,0.3 %,16816 Kb,Sun Jan  2 10:46:47 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#115,,1,0.0 %,11944 Kb,16556,1,0.3 %,16816 Kb,Sun Jan  2 10:47:16 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#116,,1,0.0 %,11920 Kb,16561,1,0.3 %,16816 Kb,Sun Jan  2 10:47:26 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#117,,1,0.0 %,11736 Kb,17162,1,0.3 %,16816 Kb,Sun Jan  2 10:49:00 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#118,,1,0.3 %,13208 Kb,2762,1,0.4 %,16816 Kb,Wed Jan  5 09:06:13 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#119,,1,0.0 %,11824 Kb,8128,1,0.3 %,16816 Kb,Sun Jan  9 08:10:34 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#120,,1,0.0 %,12384 Kb,17863,1,0.3 %,16752 Kb,Wed Jan 12 11:11:34 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#121,,1,0.0 %,12560 Kb,27349,1,0.4 %,16752 Kb,Wed Jan 12 11:59:15 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#122,,1,0.2 %,12768 Kb,335,1,0.4 %,16752 Kb,Wed Jan 12 12:17:07 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#123,,1,0.0 %,11808 Kb,18872,1,0.3 %,16816 Kb,Sun Jan 16 09:46:27 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#124,,1,0.0 %,11888 Kb,18889,1,0.3 %,16816 Kb,Sun Jan 16 09:46:58 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#125,,1,0.0 %,11952 Kb,18899,1,0.3 %,16816 Kb,Sun Jan 16 09:47:16 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#126,,1,0.0 %,11912 Kb,18898,1,0.3 %,16816 Kb,Sun Jan 16 09:47:11 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#127,,1,0.0 %,11760 Kb,18910,1,0.3 %,16816 Kb,Sun Jan 16 09:47:31 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#128,,1,0.0 %,11792 Kb,18907,1,0.3 %,16816 Kb,Sun Jan 16 09:47:29 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#129,,1,0.0 %,11824 Kb,18922,1,0.3 %,16816 Kb,Sun Jan 16 09:47:52 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#130,,1,0.0 %,11864 Kb,18996,1,0.3 %,16816 Kb,Sun Jan 16 09:48:22 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#131,,1,0.0 %,11936 Kb,19090,1,0.3 %,16816 Kb,Sun Jan 16 09:48:44 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#132,,1,0.0 %,11816 Kb,19089,1,0.3 %,16816 Kb,Sun Jan 16 09:48:43 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#133,,1,0.0 %,11752 Kb,19163,1,0.3 %,16816 Kb,Sun Jan 16 09:48:59 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#134,,1,0.0 %,11800 Kb,19151,1,0.3 %,16816 Kb,Sun Jan 16 09:48:49 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#135,,1,0.0 %,11888 Kb,19212,1,0.3 %,16816 Kb,Sun Jan 16 09:49:03 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#136,,1,0.0 %,11760 Kb,19213,1,0.3 %,16816 Kb,Sun Jan 16 09:49:06 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#137,,1,0.0 %,11760 Kb,19159,1,0.3 %,16816 Kb,Sun Jan 16 09:48:51 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#138,,1,0.0 %,11816 Kb,19164,1,0.3 %,16816 Kb,Sun Jan 16 09:49:01 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#139,,1,0.0 %,11744 Kb,19162,1,0.3 %,16816 Kb,Sun Jan 16 09:48:56 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#140,,1,0.0 %,11888 Kb,19384,1,0.3 %,16816 Kb,Sun Jan 16 09:49:07 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#141,,1,0.0 %,13168 Kb,24279,1,0.4 %,16816 Kb,Tue Jan 18 10:49:02 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#142,,1,0.0 %,12072 Kb,5599,1,0.3 %,16752 Kb,Tue Jan 18 11:46:41 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#143,,1,0.0 %,12808 Kb,25698,1,0.4 %,16752 Kb,Tue Jan 18 13:33:50 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#144,,1,0.0 %,12512 Kb,27970,1,0.3 %,16752 Kb,Tue Jan 18 16:20:30 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#145,,1,0.0 %,12528 Kb,1826,1,0.3 %,16752 Kb,Wed Jan 19 10:22:07 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
bbsoscks#146,,1,0.0 %,11400 Kb,6278,1,0.3 %,16752 Kb,Fri Jan 21 11:19:34 2011,/cs/socks/sbin/sockd -D -N 4,sockd,
