GENEOS Status Report,
Monday 20 Jul 2015 17:36:18,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,TWD,9041.76,TAIWAN WEIGHTED ,9054.2,12.44,9063.54,5:33:20,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
2347.TW,SYNNEX          ,44.6,43.65,1.13,,Ok,RealTime,24736,1,
2349.TW,RITEK           ,3.01,3.02,-0.99,,Ok,RealTime,53824,1,
2351.TW,SDI CORP        ,30.55,31.55,-2.4,,Ok,RealTime,23056,1,
2352.TW,QISDA           ,11.05,11.15,-1.34,,Ok,RealTime,39712,1,
2353.TW,ACER            ,13.6,13.9,-2.51,,Ok,RealTime,15568,1,
2354.TW,FOXCONN TECH    ,109.5,109,1.86,,Ok,RealTime,25056,1,
2355.TW,CHIN POON IND   ,44.3,44.15,-1.77,,Ok,RealTime,10608,1,
2356.TW,INVENTEC CORP   ,20.5,20.5,0.74,,Ok,RealTime,15264,1,
2357.TW,ASUSTEK         ,290,275,3.2,,Ok,RealTime,49136,1,
2358.TW,TS              ,9.7,9.48,2.65,1:6:19,Ok,RealTime,8928,1,
2359.TW,SOLOMON TECH    ,15.65,15.7,0.32,,Ok,RealTime,10160,1,
2360.TW,CHROMA          ,66.5,65,0.45,,Ok,RealTime,41760,1,
2362.TW,CLEVO           ,32.95,33.25,-0.75,,Ok,RealTime,25824,1,
2363.TW,SIS             ,6.04,5.85,-1.31,,Ok,RealTime,22448,1,
2365.TW,KYE SYSTEMS     ,10.5,10.3,-1.87,,Ok,RealTime,16800,1,
2367.TW,UNITECH         ,12.85,12.4,2.8,,Ok,RealTime,1856,1,
