Report Key,Report Group,Report Name,Report Type,Report Arguments,Report Launch Date,Report Duration In Seconds,Execution Status,Report Status,Nb Errors,Nb Warnings,Report Duration
<!>Data Availability,OK
<!>Nb Jobs Executed,207
<!>Nb Jobs No Results,64
<!>Nb Jobs Failed,1
<!>Nb Jobs Succeeded,270
<!>Nb Errors,1
<!>Nb Warnings,908
<!>Total Duration in Seconds,26403
<!>Total Duration,07:20:03
DIFC_PnLMtmFutDayYear - jeu. 8 aoû13 - 05:21:58,OTHER,DIFC_PnLMtmFutDayYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:21:58,19,EXECUTED,SUCCEED,0,0,00:00:19
DUBAI_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:04,OTHER,DUBAI_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:04,24,EXECUTED,SUCCEED,0,0,00:00:24
JOHANNESBG_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:04,OTHER,JOHANNESBG_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:04,24,EXECUTED,SUCCEED,0,0,00:00:24
BRATISLAVA_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:10,OTHER,BRATISLAVA_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:10,18,EXECUTED,SUCCEED,0,0,00:00:18
KIEV_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:07,OTHER,KIEV_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:07,22,EXECUTED,SUCCEED,0,0,00:00:22
CASALONDON_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:21,OTHER,CASALONDON_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:21,17,NO_RESULT,SUCCEED,0,0,00:00:17
BAHRAIN_PnLMtmFutDayYear - jeu. 8 aoû13 - 05:22:28,OTHER,BAHRAIN_PnLMtmFutDayYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:28,14,EXECUTED,SUCCEED,0,0,00:00:14
PRAHA_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:25,PnL_EUROPE,PRAHA_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:25,23,EXECUTED,SUCCEED,0,0,00:00:23
BUDAPEST_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:22:31,OTHER,BUDAPEST_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:22:31,25,EXECUTED,SUCCEED,0,0,00:00:25
WARSAW_PnLMtmFxTradYear - jeu. 8 aoû13 - 05:23:18,OTHER,WARSAW_PnLMtmFxTradYear,GLOBAL_SCRIPT,,jeu. 8 aoû13 - 05:23:18,31,EXECUTED,SUCCEED,0,0,00:00:31
