GENEOS Status Report,
Monday 20 Jul 2015 17:41:46,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,USD,2108.95,S&P 500 INDEX   ,2113.11,4.16,2109.01,15:2:59,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
CSC.N,COMPUTER SCIENCE,68.15,67.22,1.2179,15:2:33,Ok,RealTime,44160,1,
CSCO.OQ,CISCO SYSTEMS   ,28.15,28.03,0.4281,15:2:52,Ok,RealTime,5520,7,
CSX.N,CSX CORP        ,32.83,32.09,2.3698,15:2:50,Ok,RealTime,38736,9,
CTAS.OQ,CINTAS CORP     ,86.03,86.28,-0.2898,15:2:53,Ok,RealTime,51518,1,
CTL.N,CENTURYLINK INC ,29.58,29.82,-1.3342,15:1:50,Ok,RealTime,496,6,
CTSH.OQ,COGNIZANT TECH  ,61,60.61,0.6435,15:2:9,Ok,RealTime,63760,1,
CTXS.OQ,CITRIX SYSTEMS  ,70.35,70.89,-0.7617,15:2:55,Ok,RealTime,33888,10,
CVC.N,CABLEVISION SYS ,26.94,26.67,0.5224,15:1:59,Ok,RealTime,41296,3,
CVS.N,CVS HEALTH CRPTN,109.8,108.3,-0.0182,15:2:55,Ok,RealTime,29056,9,
CVX.N,CHEVRON         ,95.4,94.341,-0.157,15:2:50,Ok,RealTime,35136,2,
D.N,DOMINION RES IN ,69.16,68.88,-0.0578,15:2:16,Ok,RealTime,64,7,
DAL.N,DELTA AIR LIN   ,43,42.46,-1.5117,15:2:47,Ok,RealTime,25952,4,
DD.N,DU PONT CO      ,59.46,59.57,0.0505,15:2:33,Ok,RealTime,16208,6,
DE.N,DEERE & CO      ,96.46,95.75,0.0622,15:2:14,Ok,RealTime,62240,2,
DFS.N,DISCOVER FINANC ,59.05,58.13,0.4764,15:2:52,Ok,RealTime,2272,2,
DG.N,DOLLAR GNRL CORP,79.35,80.01,-0.264,15:2:58,Ok,RealTime,47104,6,
DGX.N,QUEST DIAG      ,73.82,71.57,-0.351,15:2:42,Ok,RealTime,21504,4,
DHI.N,D.R. HORTON INC ,27.94,28.3,-1.4114,15:2:55,Ok,RealTime,53456,10,
DHR.N,DANAHER         ,88.92,87.32,-0.045,15:2:37,Ok,RealTime,17424,2,
DIS.N,WALT DISNEY CO  ,118.72,117.7,0.7382,15:2:56,Ok,RealTime,9216,11,
DISCA.OQ,DISCOVERY COMM A,34.2,34.01,0.5587,15:2:33,Ok,RealTime,14912,5,
DISCK.OQ,DISCOVERY COMM C,31.99,31.89,0.3136,15:2:55,Ok,RealTime,43424,4,
DLPH.N,DELPHI AUTOMOTIV,80.52,79.44,0.374,15:2:55,Ok,RealTime,21760,15,
DLTR.OQ,DOLLAR TREE INC ,81.67,82.4,-0.8859,15:2:54,Ok,RealTime,20368,4,
DNB.N,NEW D&B CORP    ,125.13,124.21,-0.6905,14:51:3,Ok,RealTime,30720,1,
DO.N,DIAMOND OFFSHORE,24.78,24.5,-1.8614,15:2:31,Ok,RealTime,35440,1,
DOV.N,DOVER CORP      ,65.83,65.69,-1.0224,15:2:52,Ok,RealTime,65152,9,
DOW.N,DOW CHEMICAL CO ,52.51,51.66,-0.9992,15:2:55,Ok,RealTime,65296,15,
DPS.N,DR PEPPER SNAPLE,78.51,77.77,-0.0764,15:2:22,Ok,RealTime,43584,4,
DRI.N,DARDEN REST     ,72.12,72.15,-0.3041,15:2:37,Ok,RealTime,59616,4,
DTE.N,DTE ENERGY      ,77.12,77.5,0.0259,15:1:48,Ok,RealTime,16464,5,
DTV.OQ,DIRECTV         ,92.82,92.66,0.1727,15:2:48,Ok,RealTime,27168,5,
DUK.N,DUKE ENERGY     ,73.61,74.4,-0.2575,15:2:51,Ok,RealTime,44720,2,
DVA.N,DVT HLTHCR PRTNR,80.03,79.36,-0.05,15:0:37,Ok,RealTime,29408,6,
DVN.N,DEVON ENERG     ,56.02,55.31,-0.2138,15:2:50,Ok,RealTime,12848,3,
EA.OQ,ELECTRONIC ART  ,72.75,72.25,0.692,15:2:39,Ok,RealTime,44464,3,
EBAY.OQ,EBAY INC        ,63.86,63.59,0.4246,15:2:57,Ok,RealTime,38928,13,
ECL.N,ECOLAB INC      ,115.38,113.05,0.5929,15:2:46,Ok,RealTime,47888,2,
ED.N,CONSOL EDISON   ,60.4,60.86,-0.0331,15:2:9,Ok,RealTime,63088,5,
EFX.N,EQUIFAX INC     ,98.3,98.61,-0.2638,15:0:54,Ok,RealTime,34960,2,
EIX.N,EDISON INTL     ,57.76,57.98,-0.3107,15:2:29,Ok,RealTime,17696,1,
EL.N,ESTEE LAUDER    ,89.48,88.85,0.3139,15:2:20,Ok,RealTime,41216,1,
EMC.N,EMC CORP        ,25.425,25.895,1.2142,15:2:30,Ok,RealTime,27408,6,
EMN.N,EASTMAN CHEM    ,79.38,77.29,0.1514,15:2:52,Ok,RealTime,13744,6,
EMR.N,EMERSON ELECTRIC,53.99,54.07,-0.3875,15:1:51,Ok,RealTime,18672,4,
ENDP.OQ,ENDO INTERNATION,85.63,85.5,0.152,15:2:41,Ok,RealTime,41696,1,
EOG.N,EOG RESOURCES   ,84.78,83.89,-0.3321,15:2:58,Ok,RealTime,36544,10,
EQIX.OQ,EQUINIX INC     ,262.26,261.07,0.4558,15:0:40,Ok,RealTime,6368,1,
EQR.N,EQ RESIDENT     ,74.77,75.47,-0.0535,15:2:37,Ok,RealTime,41680,3,
EQT.N,EQT CORPORATION ,78.59,76.66,-0.0382,15:2:20,Ok,RealTime,432,1,
ES.N,EVERSOURCE ENRGY,47.46,47.02,0.3383,15:2:54,Ok,RealTime,20464,1,
ESRX.OQ,EXPRESS SCRIPTS ,91.23,91.36,-0.1423,15:2:52,Ok,RealTime,33520,3,
ESS.N,ESSEX PROP TR   ,222.46,224.29,0.2659,15:1:28,Ok,RealTime,1968,2,
ESV.N,ENSCO PLC CL A  ,20.67,20.47,-2.454,15:2:37,Ok,RealTime,21824,4,
ETFC.OQ,E*TRADE FINCL CP,29.76,29.61,0.5066,15:2:34,Ok,RealTime,10800,5,
ETN.N,EATON CORP      ,66.18,66.07,-0.3763,15:2:47,Ok,RealTime,17664,2,
ETR.N,ENTERGY CP      ,71.9,72.42,-0.5395,15:2:37,Ok,RealTime,29968,1,
EW.N,EDWARDS LIFE    ,152.1,152.05,-0.1313,15:1:28,Ok,RealTime,17968,1,
EXC.N,EXELON CORP     ,32.66,32.6,-0.3357,15:2:28,Ok,RealTime,23472,8,
EXPD.OQ,EXPEDITORS      ,45.5,45.68,-0.394,15:2:58,Ok,RealTime,45600,5,
EXPE.OQ,EXPEDIA         ,107.75,107.26,0.4568,15:2:43,Ok,RealTime,11680,1,
F.N,FORD MOTOR CO   ,14.775,14.45,-0.2363,15:2:58,Ok,RealTime,21438,5,
FAST.OQ,FASTENAL CO     ,41.56,41.11,1.0946,15:2:54,Ok,RealTime,57776,11,
FB.OQ,FACEBOOK INC A  ,90.79,89.68,1.2377,15:2:57,Ok,RealTime,5568,25,
FCX.N,FREEPORTMCMORAN ,16.82,16.64,-1.6949,15:2:57,Ok,RealTime,21104,11,
FDX.N,FEDEX CORP      ,170.71,168.44,-0.3095,15:2:9,Ok,RealTime,33696,2,
FE.N,FIRSTENERGY     ,33.58,33.65,-0.119,15:2:51,Ok,RealTime,21728,6,
FFIV.OQ,F5 NETWORKS INC ,118.2,118.25,-0.0423,15:2:36,Ok,RealTime,62256,1,
FIS.N,FIDELITY NATL IN,64.35,63.97,0.2961,15:2:48,Ok,RealTime,48000,4,
FISV.OQ,FISERV INC      ,87.58,87.4,0.2059,15:2:37,Ok,RealTime,64560,1,
FITB.OQ,FIFTH THR BNCP  ,21.305,21.14,0.7805,15:2:45,Ok,RealTime,53312,2,
FLIR.OQ,FLIR SYSTEMS    ,30.92,31.025,-0.3384,15:2:43,Ok,RealTime,5632,1,
FLR.N,FLUOR CORP      ,51.01,50.97,-1.7338,15:2:42,Ok,RealTime,33984,1,
FLS.N,FLOWSERVE CP    ,49.64,49.24,-1.5665,15:1:25,Ok,RealTime,18048,5,
