GENEOS Status Report,
Monday 20 Jul 2015 17:38:00,
samplingStatus,Currency,HistClose,IndexName,IndexValue,NetChange,Open,Time,TradeDate,
OK,GBP,3737.14,FTSE 350 INDEX  ,3738.61,1.47,3737.14,14:59:9,7/15/2015,
instrument,Name,Value,LastValue,PctChange,Time,DataState,Timeliness,SeqNumber,Ticks,
LAND.L,LAND SECS GROUP ,1308,1307,0.384,14:55:35,Ok,RealTime,16432,2,
LGEN.L,LEGAL & GENERAL ,269.9,263.6,0.671,14:57:47,Ok,RealTime,40224,3,
LLOY.L,LLOYDS BNK GRP  ,85.72,85.44,0.082,14:59:6,Ok,RealTime,51440,7,
LMI.L,LONMIN PLC      ,81.7,82.1369,5.624,14:58:57,Ok,RealTime,64784,9,
LMPL.L,LONDONMETRIC    ,162,161.8,-0.369,14:58:36,Ok,RealTime,45872,8,
LRD.L,LAIRD           ,376.2,360.5,2.034,14:58:23,Ok,RealTime,17488,1,
LRE.L,LANCASHIRE      ,665.5,644.728063,1.14,14:56:5,Ok,RealTime,61456,2,
LSE.L,LOND STOCK EXCH ,2630,2546,1.076,14:58:46,Ok,RealTime,19296,2,
LWDB.L,LAW DEB CORP    ,528.295,521.5,0,14:51:46,Ok,RealTime,41056,1,
MAB.L,MITCHELLS & BUT ,425.4,433.462689,-0.654,14:57:39,Ok,RealTime,35360,1,
MARS.L,MARSTON'S       ,158.8,161.5,-1.975,14:58:31,Ok,RealTime,37984,5,
MCRO.L,MICRO FOCUS     ,1341,1414,-6.485,14:58:46,Ok,RealTime,14464,2,
MERL.L,MERLIN          ,439.5,432.4203,-0.835,14:58:51,Ok,RealTime,13520,1,
MGAMM.L,MORGAN ADVANCED ,323.6,320.7,-0.706,14:58:15,Ok,RealTime,62512,1,
MGGT.L,MEGGITT PLC     ,493.7,464.5,0.961,14:58:56,Ok,RealTime,31968,6,
MKS.L,MARKS & SP.     ,546,549,0.275,14:58:34,Ok,RealTime,15488,3,
MLC.L,MILLENNIUM &COP ,564,569,0.535,14:58:47,Ok,RealTime,62544,2,
MNDI.L,MONDI           ,1504.2907,1482,1.483,14:57:49,Ok,RealTime,53216,5,
MNKS.L,MONKS INV TRUST ,430.5,424,0.584,14:54:46,Ok,RealTime,46800,2,
MONY.L,MONEYSUP GRP    ,292.3,290.5,0.758,14:58:34,Ok,RealTime,34512,2,
